fix		1 all npt temp 290 290 1 y 0 0 1000 z 0 0 1000
fix		2 all deform 1 x erate 1e-5 units box remap x

run		200000
PPPM initialization ...
  using 12-bit tables for long-range coulomb (../kspace.cpp:342)
  G vector (1/distance) = 0.17300879
  grid = 24 24 20
  stencil order = 5
  estimated absolute RMS force accuracy = 0.031818741
  estimated relative force accuracy = 9.5821193e-05
  using double precision KISS FFT
  3d grid and FFT values/proc = 1573 288
Generated 440391 of 440391 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 13
  ghost atom cutoff = 13
  binsize = 6.5, bins = 17 16 16
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/coul/long, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 23.93 | 24.64 | 25.08 Mbytes
   Step          Temp          TotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz           Volume    
         0   290            143903.88      106.89716      100.97788      99.275464     -147.20797     -416.75507      124.18559     -149.05443      1071604      
       100   290.89684      142350.96      106.95061      100.97479      99.270414     -311.59877     -452.67907     -310.89616     -171.22108      1072052.5    
       200   290.2544       141505.9       107.00406      100.95339      99.244977     -310.59408     -564.96793     -113.08564     -253.72867      1072086.1    
       300   290.04357      141076.51      107.0575       100.91534      99.20244      -119.62453     -213.92281      176.89896     -321.84973      1071757.8    
       400   289.9322       141357.36      107.11095      100.86989      99.142987     -335.42921     -274.78927     -370.43748     -361.06088      1071167.6    
       500   290.18932      141125.59      107.1644       100.81799      99.077583     -230.3171      -304.10186     -233.28028     -153.56914      1070444.1    
       600   289.38184      140590.31      107.21785      100.76458      99.007587      8.9187584     -192.40306      342.19701     -123.03767      1069654.4    
       700   289.49967      140783.55      107.2713       100.71023      98.936834     -0.70413812     176.90309     -288.82349      109.80799      1068846      
       800   289.86354      140564.35      107.32475      100.65799      98.876865     -66.450387     -325.58198      309.7232      -183.49238      1068176      
       900   289.6798       140797.48      107.3782       100.60837      98.829406      87.425055      217.59138     -105.45921      150.143        1067668.4    
      1000   290.35052      140983.21      107.43164      100.56597      98.791464     -372.85211     -699.32952      53.868894     -473.09571      1067339.8    
      1100   289.72395      140611.13      107.48509      100.5325       98.754304     -245.68737     -523.11515     -218.55551      4.6085679      1067113.8    
      1200   290.16514      140475.16      107.53854      100.4981       98.708277      38.267711     -18.501517      215.18422     -81.879574      1066781.7    
      1300   290.43878      140698.39      107.59199      100.47273      98.65768      -174.1746      -326.64411     -233.39089      37.511203      1066495.6    
      1400   290.6486       141359.13      107.64544      100.45147      98.610002     -35.492398     -58.927349     -316.24633      268.69649      1066284      
      1500   291.09748      141145.19      107.69889      100.42492      98.563574     -265.26544      47.147751     -546.36339     -296.58069      1066029.4    
      1600   290.16876      140530.27      107.75234      100.38761      98.51277      -429.03475     -770.94283     -399.25187     -116.90955      1065612.6    
      1700   289.42766      140623.82      107.80578      100.34206      98.463909     -140.36773     -303.13293     -158.16509      40.194838      1065128.9    
      1800   289.34833      140607.75      107.85923      100.30414      98.418072     -15.923104     -299.48232      321.33396     -69.62095       1064758.3    
      1900   290.87411      140995.22      107.91268      100.2694       98.37193      -161.56431     -367.74416     -202.51464      85.565868      1064417.8    
      2000   289.80522      140690.27      107.96613      100.2367       98.333711     -77.91952      -312.26661      434.10246     -355.59441      1064184      
      2100   289.93673      140769.53      108.01958      100.19908      98.296696     -416.39432     -492.1346      -315.35125     -441.69712      1063910.6    
      2200   289.90866      140643.07      108.07303      100.15807      98.248347     -251.50612     -335.14163     -137.36428     -282.01244      1063478      
      2300   289.53383      140352.21      108.12648      100.11436      98.196663     -196.57292     -333.30966     -201.78196     -54.62714       1062980.2    
      2400   289.07179      140048.12      108.17992      100.06974      98.149093     -45.555682     -202.06887     -26.152939      91.554767      1062516.6    
      2500   289.43084      140366.37      108.23337      100.03207      98.105715     -494.87752     -846.56015     -525.45793     -112.61447      1062171.7    
      2600   289.30555      140309.37      108.28682      99.993427      98.057966     -131.33989     -475.41533     -6.3185734      87.714242      1061768.7    
      2700   290.68111      140737.94      108.34027      99.959893      98.015748     -68.726767     -206.55407     -127.78131      128.15507      1061479.4    
      2800   290.31842      140436.91      108.39372      99.926203      97.980526     -143.44571     -339.67879     -65.863148     -24.795207      1061263.6    
      2900   288.61981      139681.68      108.44717      99.894515      97.950098     -350.8155      -601.54647     -189.86088     -261.03916      1061120.6    
      3000   288.70826      140146.66      108.50062      99.858846      97.911628     -630.59471     -876.30334     -494.46968     -521.01112      1060847.7    
      3100   290.87978      140593.79      108.55406      99.817019      97.875106     -77.484151     -382.71308      17.449229      132.81139      1060529.9    
      3200   290.32932      140523.93      108.60751      99.786727      97.835889     -281.69766     -417.12786     -323.22288     -104.74224      1060305.1    
